tokens,labels
"['Sitelen', 'Sitelen', 'ist', 'eine', 'Hieroglyphen-schrift.']","[0, 0, 0, 0, 0]"
"['Das', 'Vorbild', 'ist', 'die', 'Maya-schrift.']","[0, 0, 0, 0, 0]"
"['Und', 'es', 'wird', 'in', 'Bildern', 'geschrieben.']","[0, 0, 0, 0, 0, 0]"
"['Sitelen', 'Sitelen', 'kann', 'man', 'als', 'Silben-schrift', 'verwenden.']","[0, 0, 0, 0, 0, 0, 0]"
"['Sitelen', 'Sitelen', 'ist', 'auf', 'der', 'Sprache', 'Toki', 'Pona', 'aufgebaut.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Und', 'entwickelt', 'von', 'Jonathan', 'Gabel.']","[0, 0, 0, 0, 0]"
"['Beim', 'Sitzfußall', 'sitzt', 'man', 'auf', 'den', 'Boden.']","[0, 0, 0, 0, 0, 0, 0]"
"['Man', 'darf', 'nicht', 'aufstehen.']","[0, 0, 0, 0]"
"['Die', 'Hände', 'dürfen', 'den', 'Ball', 'nicht', 'berühren.']","[0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Spieler', 'rutschen', 'auf', 'dem', 'Boden.']","[0, 0, 0, 0, 0, 0]"
"['Der', 'Torwart', 'darf', 'knien.']","[0, 0, 0, 0]"
"['Sitzfußball', 'ist', 'eine', 'Sportart.']","[0, 0, 0, 0]"
"['Beim', 'Sitz-volley-ball', 'sitzen', 'die', 'Spieler', 'auf', 'dem', 'Boden.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Es', 'gibt', '2', 'Mannschaften.']","[0, 0, 0, 0]"
"['Jede', 'Mannschaft', 'hat', '6', 'Spieler.']","[0, 0, 0, 0, 0]"
"['Es', 'gibt', 'ein', 'Spiel-feld.']","[0, 0, 0, 0]"
"['Das', 'Spiel-feld', 'hat', '2', 'Hälften.']","[0, 0, 0, 0, 0]"
"['Jede', 'Mannschaft', 'bekommt', 'eine', 'Hälfte.']","[0, 0, 0, 0, 0]"
"['In', 'der', 'Mitte', 'steht', 'ein', 'Netz.']","[0, 0, 0, 0, 0, 0]"
"['Der', 'Ball', 'muss', 'über', 'dieses', 'Netz', 'gespielt', 'werden.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Dabei', 'darf', 'der', 'Ball', 'nicht', 'den', 'Boden', 'berühren.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Der', 'Ball', 'soll', 'immer', 'in', 'der', 'Luft', 'bleiben.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Spieler', 'versuchen', 'den', 'Ball', 'auf', 'den', 'Boden', 'der', 'anderen', 'Mannschaft', 'zu', 'schießen.']","[0, 1, 1, 0, 1, 2, 0, 3, 0, 3, 3, 1, 1]"
"['Der', 'Rumpf', 'darf', 'den', 'Boden', 'beim', 'spielen', 'nicht', 'berühren.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Der', 'Rumpf', 'ist', 'der', 'Ober-körper.']","[0, 0, 0, 0, 0]"
"['Das', 'Netz', 'ist', 'nicht', 'so', 'hoch', 'wie', 'beim', 'Volley-ball.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Es', 'gibt', 'die', 'gleichen', 'Regeln', 'wie', 'beim', 'Volley-ball.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Jede', 'Mannschaft', 'darf', 'den', 'Ball', '3', 'mal', 'spielen.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Dann', 'muss', 'er', 'über', 'das', 'Netz', 'gespielt', 'werden.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Beim', 'Sitz-volley-ball', 'gibt', 'es', 'mehrere', 'Spiele.']","[0, 0, 0, 0, 0, 0]"
"['Das', 'sind', 'die', '""Gewinn-sätze"".']","[0, 0, 0, 0]"
"['Einen', 'Gewinn-satz', 'gewinnt', 'die', 'Mannschaft,', 'die', 'zuerst', '25', 'Punkte', 'hat.']","[0, 1, 1, 0, 0, 2, 2, 2, 2, 2]"
"['Zwischen', 'den', 'Gewinn-sätzen', 'gibt', 'es', 'immer', 'eine', 'Pause.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Pause', 'dauert', '4', 'Minuten.']","[0, 0, 0, 0, 0]"
"['Die', 'Mannschaft,', 'die', 'zuerst', '3', 'Gewinnsätze', 'gewonnen', 'hat', 'ist', 'Sieger.']","[0, 0, 2, 2, 2, 2, 2, 2, 1, 1]"
"['Es', 'ist', 'eine', 'paralympische', 'Sommer-sport-art.']","[0, 1, 1, 2, 0]"
"['Sitz-volley-ball', 'ist', 'eine', 'Sportart.']","[0, 0, 0, 0]"
"['Die', 'Kapelle', 'wurde', 'zur', 'Zeit', 'von', 'Papst', 'Sixtus', 'IV', 'gebaut.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Von', 'ihm', 'hat', 'sie', 'ihren', 'Namen.']","[0, 0, 0, 0, 0, 0]"
"['Die', 'Sixtinische', 'Kapelle', 'wurde', 'am', '15.', 'August', '1483', 'eingeweiht.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Auf', 'die', 'Wände', 'und', 'an', 'die', 'Decke', 'sind', 'Bilder', 'gemalt.']","[1, 0, 1, 0, 0, 2, 2, 0, 0, 0]"
"['Die', 'Bilder', 'sind', 'von', 'verschiedenen', 'Malern.']","[0, 0, 0, 0, 0, 0]"
"['Die', 'Sixtinische', 'Kapelle', 'ist', 'eine', 'kleine', 'Kirche.']","[0, 1, 1, 1, 0, 2, 0]"
"['Sie', 'ist', 'in', 'der', 'Vatikanstadt.']","[0, 0, 0, 0, 0]"
"['In', 'dieser', 'Kapelle', 'ist', 'auch', 'das', 'Kon\xadkla\xadve.']","[0, 0, 0, 0, 0, 0, 0]"
"['Das', 'heißt:', '\\newline', 'Hier', 'treffen', 'sich', 'die', 'Kardinäle', 'und', '\\newline', 'wählen', 'den', 'Papst.']","[0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 2, 0, 2]"
"['Das', 'Gegenteil', 'von', 'Skandal', 'ist', '""etwas', 'unbedeutendes"".']","[0, 0, 0, 0, 0, 0, 0]"
"['Das', 'heißt:', 'es', 'interessiert', 'niemanden', '\\newline', 'und', 'ärgert', 'auch', 'niemanden.']","[0, 0, 1, 1, 1, 0, 0, 2, 2, 2]"
"['Das', 'Wort', 'Skandal', 'ist', 'ein', 'Substantiv.']","[0, 0, 0, 0, 0, 0]"
"['Ein', 'Skandal', 'ist', 'etwas', 'das', 'sehr', 'viele', 'Leute', 'mitbekommen', '', '\\newline', 'und', 'das', 'viele', 'Leute', 'ärgert.']","[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 2, 2, 2, 2]"
"['Ein', 'Skateüboard', 'ist', 'ungefähr', '•', 'ein', 'Meter', 'lang', 'und']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Skateüboard', 'ist', 'ungefähr', '•', '30', 'Zentimeter', 'breit']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Unter', 'dem', 'Brett', 'sind', '4', 'Rollen.']","[0, 0, 0, 0, 0, 0]"
"['Man', 'stellt', 'sich', 'breit-beinig', 'auf', 'das', 'Brett.']","[0, 0, 0, 0, 0, 0, 0]"
"['Man', 'kann', 'während', 'der', 'Fahrt', 'die', 'Richtung', 'ändern,', 'wenn', 'man', 'das', '\\newline', 'Gleich-gewicht', 'verlagert.']","[1, 1, 2, 0, 2, 0, 1, 1, 3, 3, 0, 0, 3, 3]"
"['Ein', 'Skate-board', 'ist', 'ein', 'Brett', 'mit', 'Rollen.']","[0, 1, 1, 0, 1, 2, 2]"
"['Ein', 'Skate-board', 'kann', 'man', 'von', 'einem', 'Ort', 'zu', 'einem', 'anderen', 'Ort', 'fahren.']","[0, 1, 1, 1, 2, 0, 2, 3, 0, 3, 3, 1]"
"['Und', 'man', 'kann', 'mit', 'dem', 'Skate-board', 'spielen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Das', 'Skate-board', 'ist', 'auch', 'ein', 'Sport-gerät.']","[0, 0, 0, 0, 0, 0]"
"['Es', 'gibt', 'auch', 'Skate-board', 'Wett-kämpfe.']","[0, 0, 0, 0, 0]"
"['Oft', 'werden', 'beim', 'Skilanglauf', 'Loipen', 'benutzt.']","[0, 0, 0, 0, 0, 0]"
"['Für', 'Skilanglauf', 'werden', 'Ski', 'und', 'Stöcke', 'gebraucht.']","[0, 0, 0, 1, 0, 2, 0]"
"['Skilanglauf', 'gibt', 'es', 'seit', 'dem', 'Jahr', '1924', '\\newline', 'bei', 'den', 'Olympische', 'Winterspielen.']","[0, 0, 0, 2, 0, 2, 2, 0, 1, 0, 1, 1]"
"['Skilanglauf', 'ist', 'eine', 'Sportart.']","[0, 0, 0, 0]"
"['Skilanglauf', 'macht', 'man', 'im', 'Schnee.']","[0, 0, 0, 0, 0]"
"['Es', 'wird', 'bergrunter', 'oder', 'bergauf', 'gefahren.']","[0, 0, 1, 0, 2, 0]"
"['Dazu', 'werden', 'an', 'den', 'Füßen', 'Ski', 'angezogen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Skirtini', 'besteht', 'aus', '2', 'Teilen.']","[0, 0, 0, 0, 0, 0]"
"['Für', 'den', 'Oberkörper', 'gibt', 'es', 'ein', 'Bikini', 'Oberteil.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Für', 'den', 'Unterkörper', 'gibt', 'es', 'einen', 'sehr', 'kurzen', 'Rock.']","[1, 0, 1, 2, 2, 0, 3, 3, 3]"
"['Skirt', 'ist', 'das', 'englische', 'Wort', 'für', 'Rock.']","[0, 0, 0, 1, 0, 2, 2]"
"['Aus', 'den', 'Wörtern', 'Skirt', 'und', 'Bikini', 'wird:', 'Skirtini.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Skirtini', 'ist', 'ein', 'Bade-anzug', 'für', 'Frauen.']","[0, 0, 0, 0, 1, 2, 2]"
"['Ein', 'Sklave', 'ist', 'abhängig', 'von', 'seinem', 'Besitzer.']","[0, 0, 0, 0, 0, 0, 0]"
"['In', 'der', 'Geschichte', 'gab', 'es', 'immer', 'wieder', 'Sklaven.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Zum', 'Beispiel', 'gab', 'es', 'bei', 'Kriegen', 'Gefangene.']","[0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Gefangenen', 'wurden', 'zu', 'Sklaven', 'gemacht.']","[0, 0, 0, 0, 0, 0]"
"['Die', 'mussten', 'dann', 'für', 'die', 'Eroberer', 'arbeiten.']","[0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Spanier', 'haben', 'über', 'acht', '(8)', 'Millionen', 'Menschen', 'aus', 'Afrika', 'entführt', 'und', '\\newline', 'diese', 'nach', 'Nordamerika', 'gebracht.']","[0, 1, 1, 1, 1, 2, 1, 3, 3, 3, 1, 0, 0, 4, 4, 4, 4]"
"['Dort', 'wurden', 'sie', 'zu', 'Sklaven.']","[0, 0, 0, 0, 0]"
"['In', 'den', 'USA', 'wurde', 'die', 'Sklaverei', 'im', 'Jahr', '1865', 'abgeschafft.']","[1, 0, 1, 2, 0, 2, 3, 3, 3, 2]"
"['Das', 'war', 'ein', 'Ergebnis', 'von', 'dem', 'Amerikanischen', 'Bürgerkrieg.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Sklaven', 'in', 'ganz', 'Nordamerika', 'wurden', 'freie', 'Menschen.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Vereinte', 'Nationen', 'haben', 'im', 'Jahr', '1948', 'einen', 'Vertrag', 'gemacht.']","[0, 1, 1, 1, 2, 2, 2, 0, 1, 1]"
"['Auch', 'heute', 'gibt', 'es', 'noch', 'Sklaven.']","[0, 0, 0, 0, 0, 0]"
"['Obwohl', 'die', 'Vereinten', 'Nationen', 'das', 'verboten', 'haben.']","[0, 0, 0, 0, 0, 0, 0]"
"['Zum', 'Beispiel:', '\\newline', 'In', 'dem', 'Land', 'Katar', 'soll', 'im', 'Jahr', '2022', 'die', 'Fußball-Weltmeisterschaft', 'sein.']","[0, 0, 0, 1, 0, 1, 1, 0, 2, 2, 2, 0, 0, 0]"
"['Bis', 'dahin', 'sollen', 'viele', 'Fußball', 'Stadien', 'gebaut', 'werden.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Zum', 'Teil', 'werden', '', 'die', 'Stadien', 'von', 'Gastarbeitern', 'gebaut.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Das', 'sind', 'Arbeiter', 'die', 'aus', 'dem', 'Land', 'Nepal', 'kommen.']","[1, 1, 0, 2, 2, 0, 2, 2, 2]"
"['Manchen', 'hat', 'man', 'den', 'Ausweis', 'weg', 'genommen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Und', 'man', 'gibt', 'ihnen', 'das', 'Geld', 'für', 'ihre', 'Arbeit', 'nicht.']","[0, 1, 1, 1, 0, 0, 2, 2, 2, 1]"
"['Manche', 'haben', 'kein', 'Wasser', 'bekommen.']","[0, 0, 0, 0, 0]"
"['44', 'Arbeiter', 'aus', 'Nepal', 'sind', 'schon', 'gestorben.']","[1, 0, 2, 2, 1, 1, 1]"
"['Es', 'gibt', '', 'verschiedene', 'Formen', 'von', 'Sklaverei.']","[0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Sklave', 'ist', 'ein', 'Mensch.']","[0, 0, 0, 0, 0]"
"['Dieser', 'Mensch', 'gehört', 'einem', 'anderen', 'Mensch.']","[0, 0, 0, 0, 0, 0]"
"['Skriptkiddie', 'besteht', 'aus', 'zwei', 'Wörtern.']","[0, 0, 0, 0, 0]"
"['Aus', 'dem', 'Wort', '\\newline', 'Skript', 'und', '\\newline', 'Kid.']","[0, 0, 0, 0, 1, 0, 0, 2]"
"['Mit', 'Skript', 'ist', 'eine', 'Textdatei', 'gemeint.']","[0, 0, 0, 0, 0, 0]"
"['In', 'dieser', 'Datei', 'stehen', 'Computerbefehle.']","[0, 0, 0, 0, 0]"
"['Wenn', 'diese', 'Datei', 'gestartet', 'wird,', '\\newline', 'arbeitet', 'der', 'Computer', 'selbständig.']","[1, 0, 1, 1, 1, 0, 2, 0, 2, 2]"
"['Ein', 'solches', 'Skript', 'kann', 'ohne', 'großes', 'Computerwissen', 'gestartet', 'werden.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Um', 'den', 'Text', 'der', 'in', 'solch', 'einem', 'Skript', 'steht', 'zu', 'schreiben,', '\\newline', 'braucht', 'es', 'gutes', 'Computerwissen.']","[1, 0, 2, 2, 2, 2, 0, 2, 2, 1, 1, 0, 3, 3, 3, 3]"
"['Kid', 'ist', 'ein', 'englisches', 'Wort.']","[0, 0, 0, 0, 0]"
"['Es', 'bedeutet:', '', '\\newline', 'Kind', 'oder', '\\newline', 'junger', 'Mensch']","[0, 0, 0, 0, 1, 0, 0, 2, 2]"
"['Ein', 'Skriptkiddie', 'ist', 'eine', 'Person.']","[0, 0, 0, 0, 0]"
"['Damit', 'sind', 'Computer-benutzer', 'gemeint,', '\\newline', 'die', 'sich', 'noch', 'wenig', 'mit', 'Computern', 'auskennen.']","[1, 1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 2]"
"['Diese', 'Benutzer', 'wissen', 'nicht', 'genau', 'wie', 'diese', 'Programme', 'funktionieren.']","[0, 1, 1, 1, 1, 2, 0, 2, 2]"
"['Bei', 'den', 'Crusties', 'ist', 'die', 'Skullet-Frisur', 'sehr', 'beliebt.']","[1, 0, 1, 2, 0, 2, 2, 2]"
"['Skullet', 'ist', 'ein', 'Haar-Schnitt.']","[0, 0, 0, 0]"
"['Dabei', 'sind', 'die', 'Haare', 'hinten', 'lang.']","[0, 0, 0, 0, 0, 0]"
"['Und', 'oben', 'ist', 'eine', 'Glatze.']","[0, 0, 0, 0, 0]"
"['Skype', 'ist', 'ein', 'Internet-Telefonie-Programm.']","[0, 0, 0, 0]"
"['Mit', 'Skype', 'kann', 'man', 'telefonieren,', 'chatten', 'und', 'Videotelefonie', 'machen.']","[0, 0, 0, 0, 1, 2, 0, 3, 0]"
"['Skype', 'ist', 'ein', 'Computerprogramm.']","[0, 0, 0, 0]"
"['Mit', 'diesem', 'Computerprogramm', 'kann', 'man', 'mit', 'anderen', 'im', 'Internet', 'telefonieren.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Beim', 'Slackline', 'darf', 'man', 'nicht', 'herunterfallen.']","[0, 0, 0, 0, 0, 0]"
"['Eine', 'Person', 'die', 'Slagline', 'macht', 'nennt', 'man:', '""Slackliner"".']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Slagline', 'ist', 'ein', 'englisches', 'Wort.']","[0, 0, 0, 0, 0]"
"['Auf', 'Deutsch', 'heißt', 'Slag-line\xa0:', 'schlaffe', 'Leine.']","[0, 0, 0, 0, 0, 0]"
"['Beim', 'Slackline', 'gibt', 'es', 'Tricks.']","[0, 0, 0, 0, 0]"
"['Die', 'Tricks', 'nennt', 'man:', '""Tricklines"".']","[0, 0, 0, 0, 0]"
"['Slackline', 'ist', 'eine', 'Sportart.']","[0, 0, 0, 0]"
"['Beim', 'Slackline', 'läuft', 'man', 'über', 'ein', 'Band.']","[0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Trampoline', 'sind', 'dazu', 'da:', 'dass', 'die', 'Spieler', 'höher', 'springen', 'können.']","[0, 1, 1, 1, 0, 2, 0, 2, 2, 2, 2]"
"['Und', 'damit', 'es', 'interessant', 'und', 'spannend', 'aussieht.']","[0, 0, 0, 1, 0, 2, 0]"
"['Besonders', 'bei', 'einem:', 'Dunking.']","[0, 0, 0, 0]"
"['Slamball', 'ist', 'ein', 'Sport.']","[0, 0, 0, 0]"
"['Beim', 'Slamball', 'muß', 'der', 'Ball', 'durch', 'einen', 'Korb.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Genau', 'gleich', 'wie', 'beim', 'Basketball.']","[0, 0, 0, 0, 0]"
"['Das', 'besondere:', 'beim', 'Slamball', 'gibt', 'es', 'Trampoline.']","[0, 1, 2, 2, 2, 2, 2]"
"['Damit', 'die', 'Spieler', 'höher', 'springen', 'können.']","[0, 0, 0, 0, 0, 0]"
"['Das', 'Wort', 'Slam', 'kann', 'verschiedene', 'Bedeutungen', 'haben.']","[0, 0, 0, 0, 0, 0, 0]"
"['Slam', 'gibt', 'es:', '•', 'beim', 'Basketball', '', 'beim', 'Slam-Dunking']","[0, 0, 0, 0, 1, 1, 0, 2, 2]"
"['Slam', 'gibt', 'es:', '•', 'beim', 'Dichter', 'Slam']","[0, 0, 0, 0, 0, 0, 0]"
"['Jede', 'Mannschaft', 'hat', '6', 'Spieler.']","[0, 0, 0, 0, 0]"
"['Davon', 'ist', 'einer', 'der', 'Torwart.']","[0, 0, 0, 0, 0]"
"['Die', 'Spieler', 'benutzen', 'einen', 'Schlitten', 'um', 'auf', 'dem', 'Eis', 'zu', 'fahren.']","[0, 1, 1, 0, 1, 2, 3, 0, 3, 2, 2]"
"['Damit', 'sie', 'auf', 'dem', 'Eis', 'fahren', 'können', 'haben', 'sie', 'zwei', 'Schläger.']","[1, 1, 2, 0, 2, 1, 1, 3, 3, 3, 3]"
"['Mit', 'diesen', 'Schlägern', 'können', 'sie', 'sich', 'abstoßen.']","[0, 0, 0, 0, 0, 0, 0]"
"['Mit', 'diesem', 'Schläger', 'schlagen', 'sie', 'auch', 'den', 'Puck.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Puck', 'ist', 'eine', 'Gummischeibe.']","[0, 0, 0, 0, 0]"
"['Auf', 'jeder', 'Seite', 'des', 'Spielfeldes', 'steht', 'ein', 'Tor.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Der', 'Puck', 'muss', 'in', 'das', 'Tor', 'der', 'anderen', 'Manschaft.']","[0, 1, 1, 1, 0, 0, 2, 2, 2]"
"['Dafür', 'gibt', 'es', 'einen', 'Punkt.']","[0, 0, 0, 0, 0]"
"['Wer', 'die', 'meisten', 'Punkte', 'hat', 'gewinnt', 'das', 'Spiel.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Spiel', 'dauert', '3', 'mal', '15', 'Minuten', '(45', 'Minuten).']","[0, 1, 1, 1, 1, 1, 1, 2, 2]"
"['Bei', 'einem', 'Foul', 'wird', 'die', 'Zeit', 'angehalten.']","[0, 0, 0, 0, 0, 0, 0]"
"['Sledge-Eishockey', 'ist', 'eine', 'Sportart.']","[0, 0, 0, 0]"
"['Sledge-Eishockey', 'wird', 'auf', 'dem', 'Eis', 'gespielt.']","[0, 0, 0, 0, 0, 0]"
"['Slogans', 'werden', 'oft', 'in', 'der', 'Werbung', 'benutzt.']","[0, 0, 0, 0, 0, 0, 0]"
"['Das', 'Wort', 'Slogan', 'ist', 'ein', 'Substantiv.']","[0, 0, 0, 0, 0, 0]"
"['Ein', 'Slogan', 'ist', 'ein', 'Spruch.']","[0, 0, 0, 0, 0]"
"['Viele', 'Menschen', 'benutzen', 'einen', 'Smalltalk', 'zum', 'Kennenlernen.']","[1, 1, 1, 0, 1, 2, 2]"
"['Oder', 'damit', 'es', 'kein', 'Schweigen', 'gibt.']","[0, 0, 0, 0, 0, 0]"
"['Smalltalk', 'hat', 'zwei', 'englische', 'Wörter:', '•', 'Small', '(heißt:', 'klein)']","[1, 1, 1, 1, 1, 0, 1, 2, 2]"
"['Smalltalk', 'hat', 'zwei', 'englische', 'Wörter:', '•', 'Talk', '(heißt:', 'sich', 'unterhalten)']","[1, 1, 1, 1, 1, 0, 1, 2, 2, 2]"
"['Das', 'Wort', 'Smalltalk', 'ist', 'ein', 'Substantiv.']","[0, 0, 0, 0, 0, 0]"
"['Ein', 'Smalltalk', 'ist', 'ein', '(kurzes)', 'Gespräch.']","[0, 1, 1, 0, 2, 1]"
"['Ein', 'Gespräch', 'über', 'Dinge', 'die', 'nicht', '(sehr)', 'wichtig', 'sind.']","[0, 1, 1, 1, 2, 2, 3, 2, 2]"
"['Zum', 'Beispiel', 'ein', 'Gespräch', 'über', 'das', 'Wetter.']","[0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Smartlet', 'ist', 'ein', 'sehr', 'großes', 'Handy.']","[0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Smartlet', 'hat', 'eine', 'Zwischen-Größe.']","[0, 0, 0, 0, 0]"
"['Smartphone', 'ist', 'ein', 'englisches', 'Wort.']","[0, 0, 0, 0, 0]"
"['Auf', 'deutsch', 'heißt', 'Smartphone:', 'Schlaues', 'Telefon.']","[0, 0, 0, 0, 0, 0]"
"['Smartphone', 'wird', 'so', 'gesprochen:', '""Smart-fon"".']","[0, 0, 0, 0, 0]"
"['Es', 'ist', 'ein', 'Telefon', 'zum', 'Mitnehmen.']","[1, 1, 0, 0, 2, 2]"
"['Ein', 'Akku', 'gibt', 'dem', 'Smartphone', 'Energie.']","[0, 0, 0, 0, 0, 0]"
"['Ein', 'Smartphone', 'hat', 'meistens', 'einen', 'Touchscreen.']","[0, 0, 0, 0, 0, 0]"
"['Das', 'Wort', 'Touchscreen', 'ist', 'Englisch.']","[0, 0, 0, 0, 0]"
"['Touchscreen', 'bedeutet:', 'ein', 'Bildschirm', 'zum', 'anfassen.']","[0, 0, 0, 0, 0, 0]"
"['Der', 'Touchscreen', 'reagiert', 'sofort', 'wenn', 'man', 'drauf', 'drückt.']","[0, 1, 1, 1, 2, 2, 2, 2]"
"['Man', 'kann', 'verschiedene', 'Software', 'installieren.']","[0, 0, 0, 0, 0]"
"['Viele', 'sagen', 'zu', 'der', 'Software:', 'App.']","[0, 0, 0, 0, 0, 0]"
"['Die', 'Software', 'ist', 'ein', 'Programm.']","[0, 0, 0, 0, 0]"
"['In', 'dem', 'Programm', 'kann', 'man', 'viele', 'Sachen', 'machen.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['App', 'wird', 'so', 'gesprochen:', '""Äp"".']","[0, 0, 0, 0, 0]"
"['Für', 'Smartphones', 'gibt', 'es', 'verschiedene', 'Betriebs-systeme.']","[0, 0, 0, 0, 0, 0]"
"['Ein', 'Smartphone', 'ist', 'eine', 'bestimmte', 'Art', 'von', 'Handy.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Es', 'kann', 'mehr', 'als', 'ein', 'Handy.']","[0, 0, 0, 0, 0, 0]"
"['Zum', 'Beispiel:', '', '\\newline', 'Es', 'hat', 'es', 'einen', 'großen', 'Bildschirm.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Man', 'kann', 'Software', 'darauf', 'installieren.']","[0, 0, 0, 0, 0]"
"['Man', 'kann', 'damit', 'im', 'Internet', 'surfen.']","[0, 0, 0, 0, 0, 0]"
"['Es', 'ist', 'ähnlich', 'wie', 'ein', 'Mini-Computer', 'für', 'die', 'Hosentasche.']","[0, 0, 1, 1, 0, 1, 2, 0, 2]"
"['Eine', 'Smart-uhr', 'ist', 'ungefähr', 'so', 'groß', 'wie', 'eine', 'Armbanduhr.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Eine', 'Smart-watch', 'ist', 'eine', 'Computer-Uhr.']","[0, 0, 0, 0, 0]"
"['Die', 'Smart-watch', 'kann', 'sich', 'mit', 'dem', 'Internet', 'verbinden.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Mit', 'dem', 'Handy', 'kann', 'man', 'eine', 'SMS', 'schreiben.']","[0, 0, 0, 0, 0, 0, 0, 0]"
"['Die', 'Nachricht', 'kann', 'man', 'dann', 'an', 'ein', 'anderes', 'Handy', 'schicken.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['SMS', '', 'ist', 'eine', 'englische', 'Akürzung.']","[0, 0, 0, 0, 0, 0]"
"['""Short', 'Message', 'Service""', 'heißt', 'auf', 'deutsch:', '""Kurznachricht""']","[0, 0, 0, 0, 0, 0, 0]"
"['Ein', 'Sneak', 'Preview', 'Film', 'ist', 'ein', 'sehr', 'neuer', 'Film.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Der', 'Film', 'wird', 'beim', 'Sneak', 'Preview', 'zum', 'ersten', 'mal', 'gezeigt.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Erst', 'später', 'kann', 'man', 'ihn', 'öfters', 'und', 'in', 'vielen', 'Kinos', 'anschauen.']","[0, 0, 0, 0, 0, 1, 0, 2, 2, 2, 0]"
"['Meistens', 'sind', 'Sneak', 'Preview', 'Filme', 'keine', 'Hollywood-Filme.']","[0, 0, 0, 0, 0, 0, 0]"
"['Sneak', 'Preview', 'Filme', 'gibt', 'es', 'seit', 'den', '1930er', 'Jahren.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Manche', 'Sneak', 'Preview', 'Filme', 'sind', 'kostenlos.']","[0, 0, 0, 0, 0, 0]"
"['Es', 'sind', '""Pay', 'After""', 'Filme.']","[0, 0, 0, 0, 0]"
"['Man', 'bezahlt', 'nach', 'dem', 'Film', 'nur', 'wenn', 'man', 'möchte.']","[0, 0, 1, 0, 1, 2, 2, 2, 2]"
"['Zum', 'Beispiel', 'wenn', 'man', 'den', 'Film', 'gut', 'gefunden', 'hat.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Sneak', 'Preview', 'Filme', 'werden', 'sehr', 'oft', 'im', 'Kino', 'besprochen.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"['Vor', 'dem', 'Film', 'oder', 'nach', 'dem', 'Film.']","[1, 0, 1, 0, 2, 0, 2]"
